epoch,box,cls,Recall,Precision,mAP@50,mAP
241,1.290,1.569,0.443,0.443,0.485,0.332
242,1.290,1.566,0.442,0.442,0.485,0.332
243,1.287,1.568,0.442,0.442,0.485,0.332
244,1.291,1.570,0.444,0.444,0.485,0.333
245,1.288,1.566,0.445,0.445,0.485,0.333
246,1.288,1.565,0.445,0.445,0.485,0.332
247,1.284,1.567,0.446,0.446,0.485,0.333
248,1.288,1.569,0.447,0.447,0.485,0.333
249,1.287,1.567,0.448,0.448,0.485,0.333
250,1.287,1.565,0.448,0.448,0.485,0.333
251,1.285,1.558,0.447,0.447,0.485,0.333
252,1.289,1.568,0.448,0.448,0.485,0.333
253,1.285,1.556,0.447,0.447,0.485,0.333
254,1.284,1.565,0.448,0.448,0.486,0.333
255,1.287,1.559,0.450,0.450,0.486,0.334
256,1.285,1.558,0.449,0.449,0.486,0.334
257,1.289,1.561,0.449,0.449,0.486,0.334
258,1.284,1.563,0.446,0.446,0.486,0.334
259,1.283,1.561,0.445,0.445,0.486,0.334
260,1.284,1.555,0.445,0.445,0.487,0.335
261,1.281,1.557,0.444,0.444,0.487,0.335
262,1.282,1.556,0.446,0.446,0.487,0.335
263,1.282,1.554,0.448,0.448,0.487,0.335
264,1.285,1.552,0.448,0.448,0.487,0.335
265,1.281,1.557,0.447,0.447,0.487,0.335
266,1.284,1.556,0.446,0.446,0.487,0.335
267,1.283,1.558,0.445,0.445,0.487,0.335
268,1.282,1.557,0.447,0.447,0.487,0.335
269,1.282,1.554,0.448,0.448,0.487,0.336
270,1.279,1.557,0.446,0.446,0.488,0.336
271,1.282,1.556,0.445,0.445,0.487,0.336
272,1.278,1.554,0.446,0.446,0.488,0.336
273,1.282,1.552,0.447,0.447,0.488,0.336
274,1.279,1.546,0.445,0.445,0.488,0.336
275,1.279,1.549,0.447,0.447,0.488,0.336
276,1.277,1.545,0.448,0.448,0.489,0.336
277,1.278,1.548,0.447,0.447,0.489,0.336
278,1.277,1.544,0.448,0.448,0.489,0.336
279,1.278,1.543,0.448,0.448,0.489,0.337
280,1.275,1.544,0.448,0.448,0.489,0.336
281,1.280,1.548,0.448,0.448,0.490,0.337
282,1.275,1.541,0.447,0.447,0.490,0.337
283,1.279,1.544,0.446,0.446,0.490,0.337
284,1.273,1.539,0.445,0.445,0.490,0.337
285,1.273,1.536,0.448,0.448,0.490,0.337
286,1.276,1.544,0.448,0.448,0.490,0.337
287,1.279,1.540,0.450,0.450,0.490,0.338
288,1.274,1.538,0.449,0.449,0.491,0.338
289,1.274,1.531,0.449,0.449,0.491,0.338
290,1.275,1.541,0.451,0.451,0.490,0.338
291,1.271,1.535,0.450,0.450,0.491,0.338
292,1.274,1.537,0.452,0.452,0.491,0.338
293,1.272,1.538,0.454,0.454,0.491,0.338
294,1.270,1.538,0.455,0.455,0.491,0.338
295,1.276,1.541,0.453,0.453,0.492,0.339
296,1.276,1.534,0.450,0.450,0.492,0.339
297,1.269,1.527,0.450,0.450,0.492,0.339
298,1.274,1.536,0.451,0.451,0.492,0.339
299,1.269,1.532,0.451,0.451,0.492,0.339
300,1.270,1.528,0.452,0.452,0.493,0.339
301,1.273,1.530,0.459,0.459,0.493,0.339
302,1.269,1.526,0.460,0.460,0.493,0.340
303,1.270,1.531,0.461,0.461,0.493,0.340
304,1.269,1.531,0.458,0.458,0.493,0.340
305,1.267,1.523,0.456,0.456,0.494,0.340
306,1.267,1.521,0.457,0.457,0.494,0.340
307,1.267,1.523,0.458,0.458,0.494,0.340
308,1.269,1.522,0.459,0.459,0.495,0.341
309,1.265,1.523,0.455,0.455,0.494,0.341
310,1.265,1.523,0.455,0.455,0.494,0.341
311,1.267,1.524,0.455,0.455,0.494,0.341
312,1.267,1.522,0.457,0.457,0.494,0.341
313,1.268,1.520,0.461,0.461,0.494,0.341
314,1.263,1.516,0.460,0.460,0.494,0.341
315,1.262,1.514,0.459,0.459,0.494,0.341
316,1.266,1.517,0.460,0.460,0.494,0.341
317,1.263,1.517,0.459,0.459,0.494,0.340
318,1.263,1.513,0.455,0.455,0.495,0.341
319,1.265,1.518,0.452,0.452,0.495,0.341
320,1.264,1.513,0.457,0.457,0.494,0.341
321,1.262,1.511,0.454,0.454,0.494,0.341
322,1.261,1.509,0.452,0.452,0.495,0.341
323,1.264,1.509,0.451,0.451,0.495,0.342
324,1.262,1.511,0.453,0.453,0.494,0.342
325,1.263,1.514,0.454,0.454,0.495,0.342
326,1.261,1.507,0.454,0.454,0.495,0.341
327,1.258,1.510,0.455,0.455,0.495,0.342
328,1.260,1.506,0.456,0.456,0.495,0.342
329,1.264,1.513,0.458,0.458,0.496,0.342
330,1.260,1.505,0.457,0.457,0.496,0.342
331,1.263,1.505,0.458,0.458,0.495,0.342
332,1.259,1.507,0.459,0.459,0.496,0.343
333,1.257,1.502,0.457,0.457,0.496,0.343
334,1.261,1.509,0.458,0.458,0.496,0.343
335,1.257,1.503,0.457,0.457,0.497,0.343
336,1.256,1.504,0.456,0.456,0.497,0.343
337,1.257,1.500,0.458,0.458,0.498,0.344
338,1.252,1.498,0.459,0.459,0.498,0.344
339,1.256,1.498,0.459,0.459,0.498,0.343
340,1.255,1.497,0.459,0.459,0.497,0.343
341,1.254,1.491,0.458,0.458,0.498,0.344
342,1.255,1.498,0.458,0.458,0.498,0.344
343,1.251,1.492,0.458,0.458,0.498,0.344
344,1.256,1.495,0.457,0.457,0.498,0.344
345,1.255,1.502,0.458,0.458,0.498,0.344
346,1.253,1.485,0.457,0.457,0.498,0.344
347,1.253,1.494,0.456,0.456,0.498,0.344
348,1.251,1.487,0.458,0.458,0.498,0.345
349,1.249,1.486,0.458,0.458,0.498,0.345
350,1.252,1.485,0.459,0.459,0.499,0.345
351,1.248,1.484,0.459,0.459,0.498,0.345
